Column1;Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Experiment;Instrument;Library Name;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;create_date;version;Sample Name;SRA Study;Collection_Date;geo_loc_name_country;geo_loc_name_country_continent;geo_loc_name;BioSampleModel;isolation_source;HOST;lat_lon;isolate;source_material_id;sample_type;strain;env_broad_scale;env_local_scale;env_medium;ENA-FIRST-PUBLIC (run);ENA-LAST-UPDATE (run);Sample_name;Scientific_Name;INSDC_center_name;INSDC_status;Submitter_Id;common_name;ena_first_public;ena_last_update;external_id;INSDC_first_public;INSDC_last_update;ArrayExpress-SPECIES;sample_description;samp_mat_process;ref_biomaterial;collected_by;tissue;source_uvig;virus_enrich_appr;replicate;host_subject_id;project_name;host_common_name;geographic_location_(country_and/or_sea);geographic_location_(latitude);geographic_location_(longitude);host_tissue_sampled;broad-scale_environmental_context;ENA_first_public.1;ENA-STATUS-ID (exp);ENA-STATUS-ID (run);environmental_medium;local_environmental_context;Broker_name;Biological_Replicate;host_scientific_name;lab_host;fasta_file (run);host_taxid;isol_growth_condt;propagation;Host_Age;host_sex;specimen_voucher;host_body_product;host_tot_mass;misc_param;samp_capt_status;sex;BREED;Cultivar;dev_stage;ecotype;sub_species;sequencing_approach;actual_read_length (run);Investigation_type;library_id;RUN (run);total_bases (run);Host_disease;environment_(biome);environment_(feature);environment_(material);host-associated_environmental_package;Sequencing_method;samp_collect_device;SUBMISSION_TOOL (exp);SUBMISSION_TOOL (run);submission_tool;SUBMISSION_TOOL_VERSION (exp);SUBMISSION_TOOL_VERSION (run);SUBMISSION_TOOL_VERSION;genbank_accession;samp_size;sampleNumber;specific_host;virus_enrich_app;altitude;BIOME;env_package;experimental_factor;feature;identified_by;label;material;sample_ID;Host_Diet;organism.1;rel_to_oxygen
10;SRR6202130;WGS;202;5752354;PRJNA415003;SAMN07811897;3068802;BGI;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX3311988;Illumina HiSeq 2000;RHIF_5;PAIRED;PCR;METAGENOMIC;bat metagenome;ILLUMINA;28.02.2018 3:00;24.10.2017 5:52;1;RHIF_5;SRP120899;missing;United Kingdom;Europe;United Kingdom;Metagenome or environmental;feces;Rhinolophus ferrumequinum;51.2 N 2.98 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biological replicate 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101.0;;;FCXXXX;1161975508.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;SRR6202131;WGS;202;3439252;PRJNA415003;SAMN07811898;1725317;BGI;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX3311989;Illumina HiSeq 2000;RHIF_EB;PAIRED;PCR;METAGENOMIC;bat metagenome;ILLUMINA;28.02.2018 3:00;24.10.2017 5:52;1;RHIF_EB;SRP120899;missing;uncalculated;uncalculated;not applicable;Metagenome or environmental;feces;Rhinolophus ferrumequinum;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;biological replicate 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101.0;;;FCXXXX;694728904.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;SRR1022354;RNA-Seq;200;1639348800;PRJNA224954;SAMN02384822;982429456;LINMIAO;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX368740;Illumina HiSeq 2000;NH120156;PAIRED;cDNA;VIRAL RNA;gut metagenome;ILLUMINA;30.05.2014 4:00;01.11.2013 12:16;1;bat_virus;SRP032322;2012-04-18;China;Asia;China;;;;;Bat gut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bat;;;;;;;;bat;;;;;
13;SRR22460267;OTHER;453;759932;PRJNA906729;SAMN31936431;604200;DON STATE TECHNICAL UNIVERSITY;public;sra,run.zq,fastq;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX18426809;Illumina MiSeq;61_S56;PAIRED;RANDOM;METAGENOMIC;metagenome;ILLUMINA;01.02.2023 3:00;30.11.2022 6:28;1;Rhinolophus_hipposideros_Female_Adygea_rectal_swab_MiSeq;SRP410549;2021-03-01/2021-06-30;Russia;Europe;Russia: Adygea Republic;Metagenome or environmental;Rectal swab from bat;Rhinolophus hipposideros;44.236864 N 40.205237 E;;;;;;;;;;;;;;;;;;;;;;;Sequenced with MiSeq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;SRR14089789;RNA-Seq;202;6994735204;PRJNA718116;SAMN18522418;2113866897;KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY;public;sra,fastq,run.zq;ncbi,gs,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX10463966;Illumina NovaSeq 6000;MRV02-48h;PAIRED;PCR;VIRAL RNA;Mammalian orthoreovirus;ILLUMINA;29.03.2021 3:00;29.03.2021 3:19;1;BatMRV/B19-02;SRP312506;2019-02;South Korea;Asia;South Korea: Jeju Island;Viral;feces;Miniopterus schreibersii;;Passage 3;;;BatMRV/B19-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vero-E6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;SRR14089790;RNA-Seq;202;7125308408;PRJNA718116;SAMN18522418;2163669736;KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY;public;sra,run.zq,fastq;gs,s3,ncbi;gs.us-east1,s3.us-east-1,ncbi.public;SRX10463965;Illumina NovaSeq 6000;MRV02-24h;PAIRED;PCR;VIRAL RNA;Mammalian orthoreovirus;ILLUMINA;29.03.2021 3:00;29.03.2021 3:21;1;BatMRV/B19-02;SRP312506;2019-02;South Korea;Asia;South Korea: Jeju Island;Viral;feces;Miniopterus schreibersii;;Passage 3;;;BatMRV/B19-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vero-E6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;SRR14089791;RNA-Seq;202;7031806042;PRJNA718116;SAMN18522418;2145227654;KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY;public;sra,run.zq,fastq;s3,ncbi,gs;ncbi.public,s3.us-east-1,gs.us-east1;SRX10463964;Illumina NovaSeq 6000;MRV02-18h;PAIRED;PCR;VIRAL RNA;Mammalian orthoreovirus;ILLUMINA;29.03.2021 3:00;29.03.2021 3:15;1;BatMRV/B19-02;SRP312506;2019-02;South Korea;Asia;South Korea: Jeju Island;Viral;feces;Miniopterus schreibersii;;Passage 3;;;BatMRV/B19-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vero-E6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;SRR14089792;RNA-Seq;202;5562460062;PRJNA718116;SAMN18522418;1682828574;KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY;public;fastq,run.zq,sra;gs,ncbi,s3;ncbi.public,gs.us-east1,s3.us-east-1;SRX10463963;Illumina NovaSeq 6000;MRV02-6h;PAIRED;PCR;VIRAL RNA;Mammalian orthoreovirus;ILLUMINA;29.03.2021 3:00;29.03.2021 3:12;1;BatMRV/B19-02;SRP312506;2019-02;South Korea;Asia;South Korea: Jeju Island;Viral;feces;Miniopterus schreibersii;;Passage 3;;;BatMRV/B19-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vero-E6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;SRR14089793;RNA-Seq;202;6060955662;PRJNA718116;SAMN18522418;1834021663;KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY;public;run.zq,fastq,sra;s3,ncbi,gs;ncbi.public,s3.us-east-1,gs.us-east1;SRX10463962;Illumina NovaSeq 6000;MRV02-2h;PAIRED;PCR;VIRAL RNA;Mammalian orthoreovirus;ILLUMINA;29.03.2021 3:00;29.03.2021 3:16;1;BatMRV/B19-02;SRP312506;2019-02;South Korea;Asia;South Korea: Jeju Island;Viral;feces;Miniopterus schreibersii;;Passage 3;;;BatMRV/B19-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vero-E6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;SRR25999230;OTHER;602;1985880008;PRJNA1015157;SAMN37347009;1103008084;CENTRAL RESEARCH INSTITUTE OF EPIDEMIOLOGY;public;run.zq,sra,fastq;ncbi,gs,s3;s3.us-east-1,gs.us-east1,ncbi.public;SRX21716487;Illumina MiSeq;Nnoctula-4_miseq;PAIRED;RANDOM;OTHER;bat gut metagenome;ILLUMINA;11.09.2023 3:00;11.09.2023 13:26;1;Nnoctula-4_miseq_nextseq;SRP459616;2023-02-13;Russia;Europe;Russia: Moscow;Metagenome or environmental;bat feces;Nyctalus noctula;55.75 N 37.61 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 sample;;;;;;;;;;;;;;
20;SRR25999231;OTHER;294;11076133468;PRJNA1015157;SAMN37347010;3658089454;CENTRAL RESEARCH INSTITUTE OF EPIDEMIOLOGY;public;run.zq,fastq,sra;ncbi,s3,gs;gs.us-east1,ncbi.public,s3.us-east-1;SRX21716486;NextSeq 2000;Nnoctula_7_nextseq;PAIRED;RANDOM;OTHER;bat gut metagenome;ILLUMINA;11.09.2023 3:00;11.09.2023 13:30;1;Nnoctula_7_nextseq;SRP459616;2023-02-13;Russia;Europe;Russia: Moscow;Metagenome or environmental;bat feces;Nyctalus noctula;55.75 N 37.61 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7 sample;;;;;;;;;;;;;;
21;SRR25999232;OTHER;292;8471965340;PRJNA1015157;SAMN37347009;2815231839;CENTRAL RESEARCH INSTITUTE OF EPIDEMIOLOGY;public;run.zq,fastq,sra;ncbi,s3,gs;ncbi.public,gs.us-east1,s3.us-east-1;SRX21716485;NextSeq 2000;Nnoctula-4_nextseq;PAIRED;RANDOM;OTHER;bat gut metagenome;ILLUMINA;11.09.2023 3:00;11.09.2023 13:33;1;Nnoctula-4_miseq_nextseq;SRP459616;2023-02-13;Russia;Europe;Russia: Moscow;Metagenome or environmental;bat feces;Nyctalus noctula;55.75 N 37.61 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 sample;;;;;;;;;;;;;;
22;SRR25884593;RNA-Seq;300;5746413000;PRJNA997461;SAMN36921942;2040993947;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;run.zq,fastq,sra;s3,gs,ncbi;s3.us-east-1,gs.us-east1,ncbi.public;SRX21605311;Illumina NovaSeq 6000;MSWZC17;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 6:59;1;MSWZC17;SRP458111;2017;China;Asia;China: Wuzhou;Metagenome or environmental;environmental;Miniopterus fuliginosus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;SRR25884596;RNA-Seq;300;6037915500;PRJNA997461;SAMN36921787;2029096971;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;sra,run.zq,fastq;gs,s3,ncbi;s3.us-east-1,gs.us-east1,ncbi.public;SRX21605308;Illumina NovaSeq 6000;HABSC17;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 6:56;1;HABSC17;SRP458111;2017;China;Asia;China: Baise;Metagenome or environmental;environmental;Hipposideros armiger;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;SRR25884599;RNA-Seq;300;11592716400;PRJNA997461;SAMN36921937;3741297304;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;run.zq,fastq,sra;gs,s3,ncbi;s3.us-east-1,gs.us-east1,ncbi.public;SRX21605305;Illumina NovaSeq 6000;MSJDC22;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 7:02;1;MSJDC22;SRP458111;2022;China;Asia;China: Jingdezhen;Metagenome or environmental;environmental;Miniopterus fuliginosus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;SRR25884604;RNA-Seq;300;6805240800;PRJNA997461;SAMN36921932;2451276058;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;run.zq,sra,fastq;s3,ncbi,gs;ncbi.public,gs.us-east1,s3.us-east-1;SRX21605300;Illumina NovaSeq 6000;MSGXC17;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 6:57;1;MSGXC17;SRP458111;2017;China;Asia;China: Guangxi;Metagenome or environmental;environmental;Miniopterus fuliginosus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;SRR25884612;RNA-Seq;300;5743025100;PRJNA997461;SAMN36921865;1928129585;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;fastq,sra,run.zq;ncbi,s3,gs;gs.us-east1,s3.us-east-1,ncbi.public;SRX21605292;Illumina NovaSeq 6000;HLLZC15;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 6:58;1;HLLZC15;SRP458111;2015;China;Asia;China: Liuzhou;Metagenome or environmental;environmental;Hipposideros larvatus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;SRR25884616;RNA-Seq;300;6397683900;PRJNA997461;SAMN36921861;2136107781;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;sra,run.zq,fastq;s3,ncbi,gs;ncbi.public,gs.us-east1,s3.us-east-1;SRX21605288;Illumina NovaSeq 6000;HLHCC17;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 6:58;1;HLHCC17;SRP458111;2017;China;Asia;China: Hechi;Metagenome or environmental;environmental;Hipposideros larvatus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;SRR25884625;RNA-Seq;300;9109810500;PRJNA997461;SAMN36921853;3044455197;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;run.zq,fastq,sra;gs,ncbi,s3;s3.us-east-1,gs.us-east1,ncbi.public;SRX21605279;Illumina NovaSeq 6000;HLGXC15;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 7:02;1;HLGXC15;SRP458111;2015;China;Asia;China: Guangxi;Metagenome or environmental;environmental;Hipposideros larvatus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;SRR25884626;RNA-Seq;300;5929759800;PRJNA997461;SAMN36921852;2041871740;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;sra,fastq,run.zq;gs,s3,ncbi;ncbi.public,s3.us-east-1,gs.us-east1;SRX21605278;Illumina NovaSeq 6000;HLGXC14;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 6:54;1;HLGXC14;SRP458111;2014;China;Asia;China: Guangxi;Metagenome or environmental;environmental;Hipposideros larvatus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;SRR25884630;RNA-Seq;300;8364075300;PRJNA997461;SAMN36921849;2863010554;CHINESE ACADEMY OF AGRICULTURAL SCIENCES;public;run.zq,fastq,sra;s3,gs,ncbi;s3.us-east-1,gs.us-east1,ncbi.public;SRX21605274;Illumina NovaSeq 6000;HLFCC16;PAIRED;other;METATRANSCRIPTOMIC;gut metagenome;ILLUMINA;02.09.2023 3:00;02.09.2023 7:16;1;HLFCC16;SRP458111;2016;China;Asia;China: Fangchenggang;Metagenome or environmental;environmental;Hipposideros larvatus;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
