,ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class
61,OR951088,OR951088.1,MAG: Bat astrovirus isolate YN2020_321_30356 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3737.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_30356,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,NA-NA,,185-1754,1.0,1772-3737,1.0,Mammalia
62,OR951087,OR951087.1,MAG: Bat astrovirus isolate YN2020_321_29515 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6552.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_29515,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,390-2625,1.0,2624-4205,1.0,4188-6510,1.0,Mammalia
63,OR951086,OR951086.1,MAG: Bat astrovirus isolate YN2020_321_25819 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4824.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_25819,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,0-1615,1.0,1614-3192,1.0,3133-4824,1.0,Mammalia
64,OR951085,OR951085.1,"MAG: Bat astrovirus isolate YN2020 polyprotein 1a gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1265.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020,China,,2020,swab,Miniopterus schreibersii,Yes,1.0,No,No,1-1090,1.0,NA-NA,,NA-NA,,Mammalia
65,OR951084,OR951084.1,"MAG: Bat astrovirus isolate YN2020 polyprotein 1b gene, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1642.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020,China,,2020,swab,Miniopterus schreibersii,Yes,1.0,No,No,NA-NA,,338-1589,1.0,NA-NA,,Mammalia
66,OR951083,OR951083.1,"MAG: Bat astrovirus isolate YN2020_321_4129 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1056.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_4129,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,NA-NA,,19-1056,1.0,NA-NA,,Mammalia
67,OR951082,OR951082.1,MAG: Bat astrovirus isolate Pool-313 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6574.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,Pool-313,China,,2020,swab,Chiroptera sp.,Yes,0.0,No,No,61-2527,1.0,2526-4095,1.0,4113-6324,1.0,Mammalia
68,OR951081,OR951081.1,"MAG: Bat astrovirus isolate Pool-312 polyprotein 1a and polyprotein 1b genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3410.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,Pool-312,China,,2020,swab,Hipposideros sp.,Yes,2.0,No,No,0-1842,1.0,1853-3380,1.0,NA-NA,,Mammalia
69,OR951080,OR951080.1,"MAG: Bat astrovirus isolate HB2020_306_19370 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6680.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HB2020_306_19370,China,,2020,swab,Rhinolophus sinicus,Yes,3.0,No,No,37-2707,1.0,2718-4293,1.0,4093-6523,1.0,Mammalia
70,OR951079,OR951079.1,"MAG: Bat astrovirus isolate HB2020_303_11589 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6677.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HB2020_303_11589,China,,2020,swab,Rhinolophus ferrumequinum,Yes,3.0,No,No,31-2635,1.0,2646-4218,1.0,4159-6535,1.0,Mammalia
71,OR951078,OR951078.1,"MAG: Bat astrovirus isolate ZJ2020 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,897.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,ZJ2020,China,,2020,swab,Rhinolophus pusillus,Yes,0.0,No,No,NA-NA,,37-877,1.0,NA-NA,,Mammalia
72,OR951077,OR951077.1,"MAG: Bat astrovirus isolate GX2016 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1256.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016,China,,2016,swab,Taphozous sp.,Yes,0.0,No,No,NA-NA,,85-1256,1.0,NA-NA,,Mammalia
73,OR951076,OR951076.1,MAG: Mamastrovirus 12 isolate GX2016 sequence,18-SEP-2025,Mamastrovirus 12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus vespertilionis,Mamastrovirus vespertilionis,Astroviridae,2246.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016,China,,2016,swab,Taphozous sp.,Yes,0.0,No,No,NA-NA,,19-1300,1.0,1316-2049,1.0,Mammalia
74,OR951075,OR951075.1,MAG: Mamastrovirus 15 isolate GX2016 sequence,18-SEP-2025,Mamastrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus taphozoi,Mamastrovirus taphozoi,Astroviridae,3793.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016,China,,2016,swab,Taphozous sp.,Yes,0.0,No,No,NA-NA,,89-1646,1.0,1648-3781,1.0,Mammalia
75,OR951074,OR951074.1,MAG: Bat astrovirus isolate GD2016_278_174689 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6612.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_278_174689,China,,2016,swab,Myotis chinensis,Yes,0.0,No,No,161-2774,1.0,2773-4375,1.0,4319-6512,1.0,Mammalia
76,OR951073,OR951073.1,"MAG: Bat astrovirus isolate GD2016_278_122035 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1940.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_278_122035,China,,2016,swab,Myotis chinensis,Yes,0.0,No,No,NA-NA,,361-1940,1.0,NA-NA,,Mammalia
77,OR951072,OR951072.1,MAG: Bat astrovirus isolate GD2016_278_110098 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3658.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_278_110098,China,,2016,swab,Myotis chinensis,Yes,0.0,No,No,278-2219,1.0,2197-3658,1.0,NA-NA,,Mammalia
78,OR951071,OR951071.1,"MAG: Bat astrovirus isolate GD2017_276_23535 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1568.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2017_276_23535,China,,2017,swab,Myotis laniger,Yes,1.0,No,No,NA-NA,,2-1484,1.0,NA-NA,,Mammalia
79,OR951070,OR951070.1,"MAG: Bat astrovirus isolate HI2019 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,918.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HI2019,China,,2019,swab,Miniopterus schreibersii,Yes,0.0,No,No,NA-NA,,31-918,1.0,NA-NA,,Mammalia
80,OR951069,OR951069.1,"MAG: Bat astrovirus isolate YN2017 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1905.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2017,China,,2017,swab,Rousettus leschenaultii,Yes,0.0,No,No,NA-NA,,216-1650,1.0,NA-NA,,Mammalia
81,OR951068,OR951068.1,MAG: Bat astrovirus isolate YN2016_267_21909 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5701.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2016_267_21909,China,,2016,swab,Rousettus leschenaultii,Yes,0.0,No,No,22-1853,1.0,1855-3355,1.0,3358-5687,1.0,Mammalia
82,OR951067,OR951067.1,"MAG: Bat astrovirus isolate JX2020_265_22422 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1330.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2020_265_22422,China,,2020,swab,Myotis adversus,Yes,0.0,No,No,NA-NA,,97-1330,1.0,NA-NA,,Mammalia
83,OR951066,OR951066.1,"MAG: Bat astrovirus isolate GX2016_254_7024 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1238.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016_254_7024,China,,2016,swab,Myotis siligorensis,Yes,1.0,No,No,NA-NA,,0-996,1.0,NA-NA,,Mammalia
84,OR951065,OR951065.1,MAG: Bat astrovirus isolate GD2016_246_49388 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2279.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_246_49388,China,,2016,swab,Hipposideros pomona,Yes,0.0,No,No,NA-NA,,0-1282,1.0,1268-2001,1.0,Mammalia
85,OR951064,OR951064.1,"MAG: Bat astrovirus isolate GX2017_243_51168 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1265.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2017_243_51168,China,,2017,swab,Taphozous melanopogon,Yes,0.0,No,No,NA-NA,,483-1265,1.0,NA-NA,,Mammalia
86,OR951063,OR951063.1,MAG: Bat astrovirus isolate GX2017_243_49312 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1636.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2017_243_49312,China,,2017,swab,Taphozous melanopogon,Yes,0.0,No,No,NA-NA,,1-1480,1.0,1524-1540,1.0,Mammalia
87,OR951062,OR951062.1,"MAG: Mamastrovirus 15 isolate GX2017 polyprotein 1b gene, partial cds",18-SEP-2025,Mamastrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus taphozoi,Mamastrovirus taphozoi,Astroviridae,1194.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2017,China,,2017,swab,Taphozous melanopogon,Yes,1.0,No,No,NA-NA,,0-1080,1.0,NA-NA,,Mammalia
88,OR951061,OR951061.1,"MAG: Bat astrovirus isolate GX2016_241_123441 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1015.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016_241_123441,China,,2016,swab,Taphozous melanopogon,Yes,1.0,No,No,NA-NA,,38-1015,1.0,NA-NA,,Mammalia
89,OR951060,OR951060.1,MAG: Bat astrovirus isolate GX2016 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3485.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016,China,,2016,swab,Taphozous melanopogon,Yes,0.0,No,No,180-1992,1.0,1991-3485,1.0,NA-NA,,Mammalia
90,OR951059,OR951059.1,MAG: Bat astrovirus isolate GD2016_230_3862 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4283.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_230_3862,China,,2016,swab,Miniopterus pusillus,Yes,0.0,No,No,262-2473,1.0,2472-4050,1.0,NA-NA,,Mammalia
91,OR951058,OR951058.1,MAG: Bat astrovirus isolate GD2016_229_11066 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3624.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_229_11066,China,,2016,swab,Miniopterus pusillus,Yes,0.0,No,No,164-2384,1.0,2383-3624,1.0,NA-NA,,Mammalia
92,OR951057,OR951057.1,"MAG: Bat astrovirus isolate GD2016_228_4463 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1372.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_228_4463,China,,2016,swab,Miniopterus pusillus,Yes,0.0,No,No,NA-NA,,95-1372,1.0,NA-NA,,Mammalia
93,OR951056,OR951056.1,MAG: Bat astrovirus isolate YN2016_218_5311 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2063.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2016_218_5311,China,,2016,swab,Myotis pilosus,Yes,0.0,No,No,NA-NA,,0-1001,1.0,1013-1743,1.0,Mammalia
94,OR951055,OR951055.1,MAG: Bat astrovirus isolate JX2020 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6276.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2020,China,,2020,swab,Myotis pilosus,Yes,0.0,No,No,40-2623,1.0,2622-4224,1.0,4168-6142,1.0,Mammalia
95,OR951054,OR951054.1,"MAG: Bat astrovirus isolate JX2020_217_22524 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,672.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2020_217_22524,China,,2020,swab,Myotis pilosus,Yes,0.0,No,No,NA-NA,,47-672,1.0,NA-NA,,Mammalia
98,OR951051,OR951051.1,"MAG: Bat astrovirus isolate GD2020 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1175.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2020,China,,2020,swab,Myotis pilosus,Yes,1.0,No,No,NA-NA,,2-1091,1.0,NA-NA,,Mammalia
99,OR951050,OR951050.1,"MAG: Bat astrovirus isolate GD2019 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1629.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2019,China,,2019,swab,Myotis pilosus,Yes,0.0,No,No,NA-NA,,109-1441,1.0,NA-NA,,Mammalia
100,OR951049,OR951049.1,MAG: Bat astrovirus isolate GD2017_211_130439 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6099.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2017_211_130439,China,,2017,swab,Myotis pilosus,Yes,0.0,No,No,142-2237,1.0,2239-3838,1.0,3784-5987,1.0,Mammalia
