Образец	Страна	Год	Хозяин	Длина контига, нт	Профиль	Идентичность, %	Длина выравнивания, амк	Мисматчи, амк	Начало контига	Конец контига	Начало референса	Конец референса	Длина референса, амк	Покрытие контига, %	Покрытие референса, %	E-value	Bit-score	Бласт хит	Инфо	Источник
SRR14195380	Denmark	2014	Myotis daubentonii	1960	Kobuvirus|3A_3B_3C_3D	45.5	246	134	743	6	2	247	409	37.7	60.1	1.25e-63	219.0	YP_009342461.1 hypothetical protein [Wuhan heteroptera virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	317	Hepatovirus|polyprotein	42.7	75	42	307	83	2401	2474	2909	71.0	2.5	2.87e-14	70.1	YP_009337692.1 hypothetical protein [Hubei picorna-like virus 33]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	234	Parechovirus|3A_3B_3C_3D	71.4	28	8	133	216	2344	2371	2536	35.9	1.1	6.75e-09	53.5	YP_009333571.1 hypothetical protein 1 [Beihai sea slater virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	313	Harkavirus|polyprotein	35.6	104	60	311	3	562	659	2094	98.7	4.7	7.67e-10	57.4	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	316	Parechovirus|2A_2B_2C	41.8	67	34	90	275	146	212	729	58.9	9.2	3.40e-06	47.0	YP_009333147.1 RNA-dependent RNA polymerase [Beihai narna-like virus 15]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	2382	Oscivirus|polyprotein	82.2	377	67	1252	2382	1	377	474	47.5	79.5	4.58e-236	670.0	YP_009342464.1 RdRp [Wuhan house centipede virus 5]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	465	Astroviridae|capsid_VP90	28.7	122	69	137	463	74	190	219	70.3	53.4	1.42e-04	43.5	YP_003084288.1 hypothetical protein [Circovirus-like genome RW-C]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	459	Kunsagivirus|polyprotein	45.0	149	79	449	3	191	336	371	97.4	39.4	2.71e-38	136.0	YP_009330010.1 hypothetical protein 2 [Hubei sobemo-like virus 10]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	458	Parechovirus|2A_2B_2C	58.6	58	24	8	181	403	460	2631	38.0	2.2	1.19e-16	79.0	YP_009337399.1 hypothetical protein [Wenzhou picorna-like virus 47]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	6167	Astroviridae|1B	62.4	468	176	3809	2406	1	468	470	22.8	99.6	2.31e-206	628.0	YP_009664783.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD77/2007]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	524	Crohivirus|polyprotein	52.5	177	81	3	524	1838	2014	3381	99.6	5.2	2.20e-58	199.0	YP_009337045.1 hypothetical protein [Hubei picorna-like virus 45]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	322	Picornaviridae|polyprotein	49.0	104	51	15	320	1747	1850	2122	95.0	4.9	6.68e-23	94.7	YP_009333591.1 hypothetical protein 1 [Beihai picorna-like virus 116]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	281	Cosavirus|polyprotein	69.6	92	28	4	279	1634	1725	2631	98.2	3.5	1.94e-37	135.0	YP_009337399.1 hypothetical protein [Wenzhou picorna-like virus 47]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	307	Astroviridae|1b_pcr_primer_region	45.8	59	32	120	296	2313	2371	2536	57.7	2.3	1.51e-10	59.3	YP_009333571.1 hypothetical protein 1 [Beihai sea slater virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	3225	Astroviridae|1B	49.1	393	191	1976	3133	19	409	438	35.9	89.3	1.26e-125	393.0	YP_009337911.1 RdRp [Hubei diptera virus 13]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	791	Kobuvirus|2A_2B_2C	34.2	234	143	106	786	350	579	1870	86.1	12.3	2.94e-36	139.0	YP_009336557.1 hypothetical protein 1 [Hubei orthoptera virus 1]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	466	Avihepatovirus|polyprotein	57.3	96	38	286	8	2	97	506	59.9	19.0	1.44e-29	115.0	YP_010780537.1 bifunctional glutamate/proline tRNA-synthetase [Tupanvirus deep ocean]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	271	Senecavirus|polyprotein	60.0	45	18	123	257	83	127	347	49.8	13.0	1.68e-15	72.4	YP_009330088.1 hypothetical protein 2 [Hubei sobemo-like virus 8]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	1230	Crohivirus|polyprotein	52.1	411	185	6	1226	656	1058	2694	99.3	15.0	2.05e-134	428.0	YP_009272812.1 polyprotein [Washington bat picornavirus]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	666	Kunsagivirus|polyprotein	69.1	165	51	40	534	168	332	385	74.3	42.9	1.44e-81	251.0	YP_009330107.1 hypothetical protein 2 [Hubei sobemo-like virus 42]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	9728	Parechovirus|3A_3B_3C_3D	87.1	2630	319	117	7946	1	2630	2630	80.5	100.0	0.00e+00	4657.0	NP_620557.1 protein P1 [Acyrthosiphon pisum virus]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	1683	Bopivirus|polyprotein	39.5	228	121	995	1672	6	218	441	40.3	48.3	2.54e-44	166.0	YP_009337376.1 hypothetical protein 2 [Wenzhou sobemo-like virus 4]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	281	Astroviridae|polyprotein	75.0	32	8	139	234	2340	2371	2536	34.2	1.3	1.26e-11	62.0	YP_009333571.1 hypothetical protein 1 [Beihai sea slater virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	887	Oscivirus|polyprotein	53.9	282	128	14	856	122	402	2823	95.0	10.0	5.76e-88	290.0	YP_009336629.1 hypothetical protein [Hubei arthropod virus 1]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	301	Parechovirus|2A_2B_2C	36.1	72	41	224	24	141	212	729	66.8	9.9	6.05e-07	48.9	YP_009333147.1 RNA-dependent RNA polymerase [Beihai narna-like virus 15]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	301	Hepatovirus|polyprotein	43.9	98	55	2	295	616	713	2901	97.7	3.4	1.12e-23	96.7	YP_009337760.1 hypothetical protein [Hubei odonate virus 4]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	6289	Parechovirus|3A_3B_3C_3D	41.7	1749	747	5480	306	1128	2627	2631	82.3	57.0	0.00e+00	1224.0	YP_009337399.1 hypothetical protein [Wenzhou picorna-like virus 47]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	352	Rosavirus|polyprotein	44.2	52	28	185	340	262	312	478	44.3	10.7	3.15e-05	44.7	YP_009345013.1 hypothetical protein 1 [Wuhan insect virus 34]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	357	Caliciviridae|capsid	51.5	66	24	107	286	622	685	836	50.4	7.7	1.17e-11	63.2	YP_009333601.1 hypothetical protein 2 [Beihai picorna-like virus 51]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	547	Harkavirus|polyprotein	28.4	116	81	368	21	1801	1914	3100	63.6	3.7	3.47e-06	49.7	YP_009337405.1 hypothetical protein [Hubei tetragnatha maxillosa virus 5]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	280	Picornaviridae|polyprotein	60.0	40	16	131	12	1747	1786	2122	42.9	1.9	1.25e-06	47.8	YP_009333591.1 hypothetical protein 1 [Beihai picorna-like virus 116]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	3892	Parechovirus|3A_3B_3C_3D	49.5	469	231	2641	1241	1	465	477	36.0	97.5	1.33e-134	423.0	YP_009342051.1 hypothetical protein 2 [Wenzhou tombus-like virus 11]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	880	Megrivirus|polyprotein	50.0	136	67	878	471	1582	1716	3061	46.4	4.4	1.01e-37	145.0	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	3626	Harkavirus|polyprotein	45.5	971	420	755	3619	171	1048	2872	79.0	30.6	4.77e-237	751.0	YP_009337339.1 hypothetical protein [Hubei tetragnatha maxillosa virus 3]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	436	Crohivirus|polyprotein	48.5	99	42	299	3	1822	1911	2094	68.1	4.3	9.14e-24	99.0	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	439	Harkavirus|polyprotein	61.9	42	16	1	126	516	557	1877	28.7	2.2	5.76e-09	56.6	YP_009336709.1 hypothetical protein 1 [Wenling crustacean virus 5]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	437	Crohivirus|polyprotein	57.4	129	55	40	426	1379	1507	2901	88.6	4.4	4.70e-42	151.0	YP_009336612.1 hypothetical protein [Hubei picorna-like virus 39]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	893	Kobuvirus|3A_3B_3C_3D	57.4	183	78	571	23	41	223	351	61.5	52.1	9.48e-74	233.0	YP_009337877.1 hypothetical protein 2 [Hubei mosquito virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	2361	Oscivirus|polyprotein	36.6	202	120	1850	1260	134	332	626	25.0	31.8	1.48e-28	125.0	YP_009336913.1 hypothetical protein 1 [Sanxia sobemo-like virus 5]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	317	Limnipivirus|polyprotein	52.1	48	23	174	317	139	186	371	45.4	12.9	2.30e-11	61.6	YP_009330010.1 hypothetical protein 2 [Hubei sobemo-like virus 10]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	1881	Rosavirus|polyprotein	26.4	364	238	1649	630	506	863	3146	54.2	11.4	1.32e-22	107.0	YP_009336830.1 hypothetical protein [Hubei arthropod virus 3]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	424	Parechovirus|3A_3B_3C_3D	48.5	132	68	4	399	32	163	351	93.4	37.6	7.85e-44	149.0	YP_009337877.1 hypothetical protein 2 [Hubei mosquito virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	273	Astroviridae|polyprotein	53.8	65	25	182	3	1847	1911	2094	65.9	3.1	5.57e-14	68.6	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	356	Crohivirus|polyprotein	82.2	73	13	1	219	2431	2503	2694	61.5	2.7	1.64e-35	131.0	YP_009272812.1 polyprotein [Washington bat picornavirus]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	1339	Megrivirus|polyprotein	41.9	403	212	175	1323	17	417	448	85.8	89.5	2.59e-86	273.0	YP_009342316.1 hypothetical protein 1 [Wuchan romanomermis nematode virus 3]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	369	Hunnivirus|polyprotein	34.1	132	74	3	368	1492	1620	2154	99.2	6.0	7.79e-17	78.2	YP_009333522.1 hypothetical protein 1 [Beihai shrimp virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	273	Rosavirus|polyprotein	65.2	46	16	136	273	523	568	1877	50.5	2.5	6.21e-12	62.8	YP_009336709.1 hypothetical protein 1 [Wenling crustacean virus 5]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	621	Crohivirus|polyprotein	47.9	192	99	45	620	1467	1657	2143	92.8	8.9	1.22e-54	190.0	YP_009508298.1 polyprotein [Shanbavirus A]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	462	Harkavirus|polyprotein	48.7	119	57	114	461	1954	2071	2154	75.3	5.5	6.52e-26	105.0	YP_009333522.1 hypothetical protein 1 [Beihai shrimp virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	371	Harkavirus|polyprotein	41.5	123	65	368	3	555	671	2094	98.7	5.6	1.54e-21	91.7	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	431	Hepatovirus|polyprotein	36.8	95	58	95	373	1995	2089	2122	64.7	4.5	3.37e-08	54.3	YP_009333591.1 hypothetical protein 1 [Beihai picorna-like virus 116]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	582	Crohivirus|polyprotein	47.1	153	72	119	577	1796	1939	2094	78.9	6.9	2.51e-38	142.0	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	301	Parechovirus|2A_2B_2C	39.5	76	40	265	56	136	211	729	69.8	10.4	3.79e-08	52.4	YP_009333147.1 RNA-dependent RNA polymerase [Beihai narna-like virus 15]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	548	Hepatovirus|polyprotein	44.1	188	97	5	544	1306	1493	1728	98.5	10.9	1.13e-51	180.0	YP_009552832.1 ORF2 [Nesidiocoris tenuis iflavirus 1]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	277	Astroviridae|2	70.9	55	16	275	111	83	137	738	59.6	7.5	3.13e-22	92.0	YP_009664782.1 capsid protein precursor [Mamastrovirus 14]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	580	Harkavirus|polyprotein	49.5	188	84	580	20	1794	1971	2094	96.7	8.5	6.15e-49	173.0	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	264	Cosavirus|polyprotein	46.0	87	45	8	262	2016	2102	2154	96.6	4.0	6.28e-16	73.9	YP_009333522.1 hypothetical protein 1 [Beihai shrimp virus 2]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	836	Enterovirus|polyprotein	39.2	268	144	793	2	6	258	441	94.7	57.4	3.24e-58	194.0	YP_009337376.1 hypothetical protein 2 [Wenzhou sobemo-like virus 4]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	306	Rosavirus|polyprotein	53.5	71	33	213	1	685	755	2122	69.6	3.3	2.88e-15	72.8	YP_009333591.1 hypothetical protein 1 [Beihai picorna-like virus 116]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	278	Picornaviridae|polyprotein	51.0	49	24	128	274	1799	1847	2122	52.9	2.3	1.07e-10	59.3	YP_009333591.1 hypothetical protein 1 [Beihai picorna-like virus 116]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	283	Harkavirus|polyprotein	58.9	90	35	273	10	1751	1840	2122	93.3	4.2	6.83e-27	105.0	YP_009333591.1 hypothetical protein 1 [Beihai picorna-like virus 116]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
