Образец	Страна	Год извлечения	Хозяин	Длина контига	Профиль	На что бластанулось	Bitscore	Информация
SRR19115554	Switzerland	2020	Myotis myotis	2683	Rosavirus	polyprotein P2ab [Ryegrass mottle virus]	1109.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	9310	Bopivirus	hypothetical protein [Hubei myriapoda virus 1]	1108.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	4039	Rosavirus	RNA-dependent RNA polymerase [Cocksfoot mottle virus]	1105.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	4450	Parechovirus	hypothetical protein 2 [Wuhan arthropod virus 2]	1090.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	8889	Parechovirus	hypothetical protein [Hubei myriapoda virus 1]	1084.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	2355	Avisivirus	capsid protein [Acute bee paralysis virus]	1083.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	9572	Cosavirus	hypothetical protein [Hubei picorna-like virus 26]	1071.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5021	Kobuvirus	putative polyprotein [La Jolla virus]	1055.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	1813	Bopivirus	polyprotein [Bat picornavirus 3]	1054.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	7616	Potamipivirus	coat protein [Armigeres subalbatus virus SaX06-AK20]	1045.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	10808	Norovirus	tail protein [Acinetobacter phage VB_ApiP_XC38]	1043.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1816	Harkavirus	hypothetical protein [Hubei arthropod virus 3]	1035.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1671	Tottorivirus	nonstructural polyprotein [Aphid lethal paralysis virus]	1033.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5656	Parechovirus	capsid protein [Camponotus nipponicus virus]	1021.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	6707	Astroviridae	capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]	1010.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	2114	Hepatovirus	polyprotein [Washington bat picornavirus]	1010.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2532	Hepatovirus	hypothetical protein 1 [Wuhan arthropod virus 2]	1005.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	2484	Astroviridae	capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]	999.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR30793080				2896	Avisivirus	RNA-dependent RNA polymerase [Hubei orthoptera virus 4]	984.0	
SRR19115554	Switzerland	2020	Myotis myotis	3711	Crohivirus	polyprotein [Washington bat picornavirus]	962.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	8438	Crohivirus	hypothetical protein [Hubei myriapoda virus 1]	957.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	3527	Harkavirus	hypothetical protein [Hubei picorna-like virus 34]	955.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	8540	Enterovirus	hypothetical protein [Hubei myriapoda virus 1]	954.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	5560	Hepatovirus	hypothetical protein 1 [Wuhan millipede virus 3]	945.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	10685	Harkavirus	hypothetical protein 1 [Wuhan millipede virus 3]	944.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	5373	Parechovirus	hypothetical protein [Wuhan insect virus 13]	942.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	4882	Astroviridae	capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]	942.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	1676	Crohivirus	RNA-dependent RNA polymerase [Lasius neglectus virus 1]	930.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	3356	Hepatovirus	polyprotein [Washington bat picornavirus]	930.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2677	Hepatovirus	polyprotein [Washington bat picornavirus]	926.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	8431	Crohivirus	hypothetical protein [Hubei myriapoda virus 1]	923.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	3916	Aquamavirus	RNA-dependent RNA polymerase [Cocksfoot mottle virus]	920.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	7935	Crohivirus	hypothetical protein [Hubei myriapoda virus 1]	905.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	4011	Kobuvirus	hypothetical protein [Hubei picorna-like virus 29]	904.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	10899	Hepatovirus	hypothetical protein 1 [Hubei picorna-like virus 71]	891.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1923	Norovirus	polyprotein P2a [Ryegrass mottle virus]	875.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1769	Harkavirus	nonstructural polyprotein [Aphid lethal paralysis virus]	863.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	3015	Hepatovirus	replicative protein [Bivalve RNA virus G5]	832.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	4374	Hepatovirus	putative polyprotein [La Jolla virus]	828.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1644	Rafivirus	polyprotein [Washington bat picornavirus]	806.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2711	Crohivirus	hypothetical protein 2 [Hubei picorna-like virus 16]	787.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	4021	Cosavirus	hypothetical protein [Hubei picorna-like virus 29]	787.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	2063	Aquamavirus	RNA-dependent RNA polymerase [Cocksfoot mottle virus]	780.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5861	Hepatovirus	hypothetical protein 1 [Hubei orthoptera virus 1]	778.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	2163	Crohivirus	polyprotein [Bat iflavirus]	768.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	4938	Cosavirus	hypothetical protein 1 [Hubei picorna-like virus 79]	762.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	1749	Astroviridae	capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]	761.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	4103	Hepatovirus	hypothetical protein 1 [Hubei diptera virus 1]	761.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2320	Crohivirus	hypothetical protein [Hubei arthropod virus 1]	758.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	7743	Hepatovirus	hypothetical protein 1 [Hubei picorna-like virus 71]	756.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR30793080				6830	Avisivirus	hypothetical protein 2 [Hubei toti-like virus 16]	755.0	
SRR19115554	Switzerland	2020	Myotis myotis	4441	Hepatovirus	hypothetical protein 1 [Hubei picorna-like virus 24]	753.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2826	Hepatovirus	hypothetical protein [Hubei picorna-like virus 26]	753.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2754	Cosavirus	hypothetical protein 2 [Hubei diptera virus 22]	740.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2367	Hepatovirus	hypothetical protein 1 [Hubei diptera virus 1]	739.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	7301	Crohivirus	hypothetical protein [Hubei myriapoda virus 1]	728.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	3436	Astroviridae	capsid protein precursor [Mamastrovirus 18]	728.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	1226	Astroviridae	RNA-dependent RNA polymerase [Verticillium dahliae partitivirus 1]	723.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2628	Crohivirus	hypothetical protein [Hubei picorna-like virus 34]	721.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	7423	Cosavirus	hypothetical protein 2 [Hubei toti-like virus 21]	718.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2920	Cosavirus	hypothetical protein 2 [Hubei toti-like virus 21]	718.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2488	Crohivirus	polyprotein [Washington bat picornavirus]	716.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR30793080				2006	Aphthovirus	RNA dependent RNA polymerase protein A [Nodamura virus]	714.0	
SRR19115554	Switzerland	2020	Myotis myotis	2759	Cosavirus	hypothetical protein 2 [Hubei toti-like virus 21]	714.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2407	Cosavirus	putative RNA-dependent RNA polymerase [Raphanus sativus chrysovirus 1]	710.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2024	Cosavirus	hypothetical protein 2 [Hubei toti-like virus 21]	707.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	6623	Crohivirus	hypothetical protein [Hubei myriapoda virus 1]	696.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	9997	Crohivirus	hypothetical protein [Zhejiang mosquito virus 1]	692.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR30793080				19923	Erbovirus	terminase large subunit [Clostridium phage phiCD481-1]	688.0	
SRR19115554	Switzerland	2020	Myotis myotis	6902	Hepatovirus	hypothetical protein 1 [Beihai picorna-like virus 121]	679.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	4414	Crohivirus	hypothetical protein [Hubei myriapoda virus 1]	674.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	3444	Crohivirus	hypothetical protein [Hubei picorna-like virus 39]	667.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5737	Cosavirus	hypothetical protein [Hubei tetragnatha maxillosa virus 1]	663.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2780	Crohivirus	hypothetical protein [Hubei picorna-like virus 48]	661.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	2613	Kobuvirus	hypothetical protein [Hubei picorna-like virus 29]	657.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	3101	Cosavirus	hypothetical protein 1 [Wuhan arthropod virus 2]	657.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1827	Cosavirus	RNA-dependent RNA polymerase [Solenopsis invicta virus 2]	655.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1331	Kunsagivirus	RdRp [Wuhan Millipede virus 4]	654.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	5142	Bopivirus	hypothetical protein [Hubei myriapoda virus 1]	649.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	5129	Bopivirus	hypothetical protein [Hubei myriapoda virus 1]	645.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	1137	Kobuvirus	non-structural polyprotein [Formica exsecta virus 1]	645.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5601	Astroviridae	non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD77/2007]	644.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1629	Crohivirus	polyprotein [Washington bat picornavirus]	644.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	5098	Parechovirus	hypothetical protein [Hubei myriapoda virus 1]	642.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	5580	Parechovirus	hypothetical protein [Hubei myriapoda virus 1]	630.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	1675	Parechovirus	RdRp [Wuhan cricket virus 2]	625.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1780	Crohivirus	hypothetical protein 2 [Hubei picorna-like virus 16]	625.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	4030	Harkavirus	hypothetical protein 1 [Wuhan millipede virus 3]	623.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1549	Astroviridae	RdRp [Wuhan Millipede virus 4]	622.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	3966	Megrivirus	hypothetical protein 1 [Wenling picorna-like virus 2]	622.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2963	Crohivirus	replicase polyprotein [Drosophila C virus]	620.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	1380	Potamipivirus	terminase large subunit [Pectobacterium phage Koot]	617.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	1485	Astroviridae	non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]	614.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	4785	Crohivirus	hypothetical protein [Hubei myriapoda virus 1]	613.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	2439	Parechovirus	RNA-dependent RNA polymerase [Camponotus yamaokai virus]	611.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	8972	Kobuvirus	putative polyprotein [Kilifi Virus]	610.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
