Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_033820,Bat sapelovirus,Bat sapelovirus,,,7746,complete,Cameroon,Eidolon helvum,feces,"Yinda,C.K., Zeller,M., Conceicao-Neto,N., Maes,P., Deboutte,W., Beller,L., Heylen,E., Ghogomu,S.M., Van Ranst,M., Matthijnssens,J., Zell,R., Knowles,N.",2013-12,2017-02-27,ssRNA(+)
NC_028366,hepatovirus H2,Hepatovirus hedgi,,M32Eidhel2010,7333,complete,Ghana,Eidolon helvum,,"Drexler,J.F., Corman,V.M., Lukashev,A.N., van den Brand,J.M., Gmyl,A.P., Brunink,S., Rasche,A., Seggewibeta,N., Feng,H., Leijten,L.M., Vallo,P., Kuiken,T., Dotzauer,A., Ulrich,R.G., Lemon,S.M., Drosten,C.",2010,2015-11-12,ssRNA(+)
NC_026470,mischivirus C1,Mischivirus cica,,PREDICT-06105,8096,complete,Democratic Republic of the Congo,Macronycteris gigas,oronasopharynx,"Ng,T.F.F., Schneider,B.S., Gillis,A., LeBreton,M., Kondov,N.O., Coffey,L., Wolfe,N.D., Delwart,E.",2013,2015-02-17,ssRNA(+)
NC_015934,Bat picornavirus 3,Bat picornavirus 3,,,7749,complete,Hong Kong,Rhinolophus sinicus,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2008-09-12,2011-09-02,ssRNA(+)
NC_015940,Bat picornavirus 1,Bat picornavirus 1,,,7753,complete,Hong Kong,Miniopterus pusillus,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2008-12-19,2011-09-02,ssRNA(+)
NC_015941,Bat picornavirus 2,Bat picornavirus 2,,,7693,complete,Hong Kong,Miniopterus magnater,,"Lau,S.K., Woo,P.C., Lai,K.K., Huang,Y., Yip,C.C., Shek,C.T., Lee,P., Lam,C.S., Chan,K.H., Yuen,K.Y.",2005-09-06,2011-09-02,ssRNA(+)
OR784404,Eonycteris spelaea picornavirus,Eonycteris spelaea picornavirus,,DNUS-Esp-picorna,7308,complete,Singapore,Eonycteris spelaea,,"Low,D.H.W., Zhuang,Y., Linster,M., Ch'Ng,L., Zhang,R., Lee,B.P.Y.H., Mendenhall,I.H., Smith,G.J.",2020-09-08,2024-11-03,ssRNA(+)
OR367421,Hepatovirus sp. 'sotense',Hepatovirus sp. 'sotense',,CH-APSJS/2021,7404,complete,"Brazil: Maranhao, Sao Joao do Soter",Artibeus planirostris,,"Pires,W.M., Silva,S.P., Cruz,A.C.R.",2021-10-28,2023-12-01,ssRNA(+)
OQ818316,Pteropus rufus mischivirus,Pteropus rufus mischivirus,,AMB150,7982,complete,Madagascar,Pteropus rufus,feces,"Kettenburg,G., Kistler,A., Ranaivoson,H.C., Ahyong,V., Derisi,J.L., Tato,C.M., Brook,C.E.",2018-08-16,2023-06-19,ssRNA(+)
OQ818318,Eidolon dupreanum teschovirus 1,Eidolon dupreanum teschovirus 1,,KEL164,7085,complete,Madagascar,Eidolon dupreanum,feces,"Kettenburg,G., Kistler,A., Ranaivoson,H.C., Ahyong,V., Derisi,J.L., Tato,C.M., Brook,C.E.",2018-02-15,2023-06-19,ssRNA(+)
OQ818320,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum sapelovirus 1,,KEL233,7685,complete,Madagascar,Eidolon dupreanum,feces,"Kettenburg,G., Kistler,A., Ranaivoson,H.C., Ahyong,V., Derisi,J.L., Tato,C.M., Brook,C.E.",2018-07-27,2023-06-19,ssRNA(+)
OQ818321,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum sapelovirus 2,,KEL272,7751,complete,Madagascar,Eidolon dupreanum,feces,"Kettenburg,G., Kistler,A., Ranaivoson,H.C., Ahyong,V., Derisi,J.L., Tato,C.M., Brook,C.E.",2019-01-07,2023-06-19,ssRNA(+)
OQ818323,Rousettus madagascariensis teschovirus 1,Rousettus madagascariensis teschovirus 1,,MIZ190,7294,complete,Madagascar,Rousettus madagascariensis,feces,"Kettenburg,G., Kistler,A., Ranaivoson,H.C., Ahyong,V., Derisi,J.L., Tato,C.M., Brook,C.E.",2018-07-29,2023-06-19,ssRNA(+)
OQ818324,Rousettus madagascariensis teschovirus 2,Rousettus madagascariensis teschovirus 2,,MIZ205,7228,complete,Madagascar,Rousettus madagascariensis,feces,"Kettenburg,G., Kistler,A., Ranaivoson,H.C., Ahyong,V., Derisi,J.L., Tato,C.M., Brook,C.E.",2018-07-29,2023-06-19,ssRNA(+)
OQ363751,Bat picornavirus 5,Bat picornavirus 5,,GD/L117.18d/2022,11211,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-07,2023-04-11,ssRNA(+)
OQ363752,Bat picornavirus 5,Bat picornavirus 5,,GD/L117.18e/2022,11207,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-07,2023-04-11,ssRNA(+)
OQ363753,Bat picornavirus 5,Bat picornavirus 5,,GD/L117.18b/2022,11198,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-07,2023-04-11,ssRNA(+)
OQ363754,Bat picornavirus 5,Bat picornavirus 5,,GD/L117.18f/2022,11194,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-07,2023-04-11,ssRNA(+)
OQ363755,Bat picornavirus 5,Bat picornavirus 5,,GD/L117.18g/2022,11008,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-07,2023-04-11,ssRNA(+)
OQ363758,Bat picornavirus 6,Bat picornavirus 6,,GD/L12.18a/2020,10663,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-11,2023-04-11,ssRNA(+)
OQ363759,Bat picornavirus 5,Bat picornavirus 5,,GD/L117.18a/2022,9826,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-07,2023-04-11,ssRNA(+)
OQ363761,Bat picornavirus 6,Bat picornavirus 6,,GD/L12.18b/2020,8524,complete,China,Miniopterus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-11,2023-04-11,ssRNA(+)
OQ363764,Bat picornavirus 3,Bat picornavirus 3,,GD/L96.21/2022,7970,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-04,2023-04-11,ssRNA(+)
OQ363766,Bat picornavirus 3,Bat picornavirus 3,,CQ/L77.18b/2021,7897,complete,China,Rhinolophus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2021-12,2023-04-11,ssRNA(+)
OQ363767,Bat picornavirus 3,Bat picornavirus 3,,GD/L91.18/2022,7886,complete,China,Rhinolophus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-01,2023-04-11,ssRNA(+)
OQ363768,Bat picornavirus 3,Bat picornavirus 3,,GD/L95.21/2022,7886,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-04,2023-04-11,ssRNA(+)
OQ363769,Bat picornavirus 3,Bat picornavirus 3,,GD/L23.18/2020,7882,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-12,2023-04-11,ssRNA(+)
OQ363770,Bat picornavirus 3,Bat picornavirus 3,,GD/L24.18/2020,7881,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-12,2023-04-11,ssRNA(+)
OQ363771,Bat picornavirus 3,Bat picornavirus 3,,GD/L20.18/2020,7880,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-12,2023-04-11,ssRNA(+)
OQ363772,Bat picornavirus 7,Bat picornavirus 7,,GD/L67.18/2021,7880,complete,China,Taphozous melanopogon,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2021-11,2023-04-11,ssRNA(+)
OQ363773,Bat picornavirus 3,Bat picornavirus 3,,GD/L25.18/2020,7875,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-12,2023-04-11,ssRNA(+)
OQ363775,Bat picornavirus 3,Bat picornavirus 3,,CQ/L77.18a/2021,7853,complete,China,Rhinolophus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2021-12,2023-04-11,ssRNA(+)
OQ363777,Bat picornavirus,Shanbavirus aminfuli,,GD/L8.18/2020,7743,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-11,2023-04-11,ssRNA(+)
OQ363779,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GD/L58.18/2021,7080,complete,China,Rhinolophus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2021-10,2023-04-11,ssRNA(+)
OQ363780,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GD/L4.18/2020,7018,complete,China,Rhinolophus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-11,2023-04-11,ssRNA(+)
OQ363781,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GD/L15.18/2020,7009,complete,China,Rhinolophus pearsonii,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-11,2023-04-11,ssRNA(+)
OQ363782,Bat picornavirus 4,Bat picornavirus 4,,GD/L71.18b/2021,6931,complete,China,Rhinolophus sp.,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2021-11,2023-04-11,ssRNA(+)
OQ363783,Bat picornavirus 4,Bat picornavirus 4,,GD/L26.18/2020,6925,complete,China,Rhinolophus sinicus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2020-12,2023-04-11,ssRNA(+)
OQ363786,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GD/L32.18/2021,6756,complete,China,Rhinolophus pusillus,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2021-05,2023-04-11,ssRNA(+)
OQ363806,Bat picornavirus 1,Bat picornavirus 1,,GZ/L175.18/2022,7743,complete,China,Miniopterus schreibersii,,"Cui,X., Fan,K., Liang,X., Gong,W., Chen,W., He,B., Chen,X., Wang,H., Wang,X., Zhang,P., Lu,X., Chen,R., Lin,K., Liu,J., Zhai,J., Liu,D.X., Shan,F., Li,Y., Chen,R.A., Meng,H., Li,X., Mi,S., Jiang,J., Zhou,N., Chen,Z., Zou,J.-J., Ge,D., Yang,Q., He,K., Chen,T., Wu,Y.-J., Lu,H., Irwin,D.M., Shen,X., Hu,Y., Ding,C., Guan,Y., Tu,C., Shen,Y.",2022-08,2023-04-11,ssRNA(+)
OP287812,Eidolon dupreanum kobuvirus,Eidolon dupreanum kobuvirus,,FEC145,8263,complete,Madagascar,Eidolon dupreanum,,"Gonzalez,F.L., Kistler,A., Ranaivoson,H.C., Ahyong,V., Andrianiaina,A., Andry,S., DeRisi,J.L., Raharinosy,V., Randriambolamanantsoa,T.H., Ravelomanantsoa,N.A.F., Tato,C.M., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.",2018-07-27,2023-01-15,ssRNA(+)
MN602325,Bat picornavirus,Shanbavirus aminfuli,,,8208,complete,Italy,Pipistrellus pipistrellus,,"Diakoudi,G., Jamnikar-Ciglenecki,U., Lanave,G., Lelli,D., Martella,V., Kuhar,U., Jamnikar Ciglenecki,U.",2017,2020-02-25,ssRNA(+)
KP100644,mischivirus C1,Mischivirus cica,,PREDICT-06105,8096,complete,Democratic Republic of the Congo,Macronycteris gigas,oronasopharynx,"Ng,T.F.F., Schneider,B.S., Gillis,A., LeBreton,M., Kondov,N.O., Coffey,L., Wolfe,N.D., Delwart,E.",2013,2015-02-10,ssRNA(+)
JQ814851,mischivirus A1,Mischivirus acombewi,,,8468,complete,China,Miniopterus schreibersii,,"Wu,Z., Ren,X., Yang,L., Hu,Y., Yang,J., He,G., Zhang,J., Dong,J., Sun,L., Du,J., Liu,L., Xue,Y., Wang,J., Yang,F., Zhang,S., Jin,Q., Qian,Z., Zhu,Y.",2010-12,2012-06-06,ssRNA(+)
