ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class,1A_length,1B_length,2_length
PV418546,PV418546.1,"Canine astrovirus isolate CaAstV/Dog/AUS/2_hopevale_4/2021 nonstructural protein gene, complete cds; and RNA-dependent RNA polymerase gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,4175.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/2_hopevale_4/2021,Australia: Hope Vale,,Dec-2021,rectal swab,Canis lupus familiaris,No,2.0,No,No,0-2670,1.0,2621-4157,1.0,NA-NA,,Mammalia,2670.0,1536.0,
PX236818,PX236818.1,"Possum astrovirus isolate M23 ORF1a protein, ORF1b protein, and ORF2 protein genes, complete cds",24-SEP-2025,Possum astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6363.0,"French,R.K.",,M23,New Zealand,,2021,kidney/liver,Trichosurus vulpecula,No,3.0,No,No,101-2582,1.0,2596-4108,1.0,3983-6215,1.0,Mammalia,2481.0,1512.0,2232.0
PX236817,PX236817.1,"Possum astrovirus isolate M22 ORF1a protein and ORF1b protein genes, complete cds; and ORF2 protein gene, partial cds",24-SEP-2025,Possum astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5446.0,"French,R.K.",,M22,New Zealand,,2021,kidney/liver,Trichosurus vulpecula,No,3.0,No,No,18-2475,1.0,2489-3986,1.0,3876-5446,1.0,Mammalia,2457.0,1497.0,1570.0
PX255451,PX255451.1,"Human astrovirus isolate CHX10SS1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6765.0,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",,CHX10SS1,Malawi,,23-May-2019,stool,Homo sapiens,No,3.0,No,No,75-2853,1.0,3233-4340,1.0,4332-6681,1.0,Mammalia,2778.0,1107.0,2349.0
PX255450,PX255450.1,"Human astrovirus isolate CQA104S1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6719.0,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",,CQA104S1,Malawi,,23-Nov-2022,stool,Homo sapiens,No,3.0,No,No,62-2822,1.0,3202-4309,1.0,4301-6638,1.0,Mammalia,2760.0,1107.0,2337.0
PX255449,PX255449.1,"Human astrovirus isolate BTY1JJ putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6738.0,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",,BTY1JJ,Malawi,,10-Mar-2016,stool,Homo sapiens,No,3.0,No,No,20-2822,1.0,3202-4309,1.0,4121-6653,1.0,Mammalia,2802.0,1107.0,2532.0
PX255448,PX255448.1,"Human astrovirus isolate BID2K6S1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6768.0,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",,BID2K6S1,Malawi,,06-Feb-2014,stool,Homo sapiens,No,3.0,No,No,84-2886,1.0,3266-4373,1.0,4185-6675,1.0,Mammalia,2802.0,1107.0,2490.0
PX255447,PX255447.1,"Human astrovirus isolate BTY1YZ putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6695.0,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",,BTY1YZ,Malawi,,04-Jul-2017,stool,Homo sapiens,No,3.0,No,No,81-2766,1.0,2780-4253,1.0,4245-6207,1.0,Mammalia,2685.0,1473.0,1962.0
PX255446,PX255446.1,"Human astrovirus isolate CQA137S1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6775.0,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",,CQA137S1,Malawi,,15-Jun-2023,stool,Homo sapiens,No,3.0,No,No,84-2886,1.0,3266-4373,1.0,4365-6729,1.0,Mammalia,2802.0,1107.0,2364.0
OR951098,OR951098.1,MAG: Bat astrovirus isolate JX2021_368_226027 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3758.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021_368_226027,China,,2021,swab,Rhinolophus sinicus,Yes,0.0,No,No,48-807,1.0,806-2387,1.0,2424-3177,1.0,Mammalia,759.0,1581.0,753.0
OR951097,OR951097.1,MAG: Bat astrovirus isolate JX2021_367_194485 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6021.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021_367_194485,China,,2021,swab,Rhinolophus sinicus,Yes,0.0,No,No,305-2255,1.0,2254-3832,1.0,3812-6008,1.0,Mammalia,1950.0,1578.0,2196.0
OR951090,OR951090.1,"MAG: Bat astrovirus isolate LN2020_331_77556 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1919.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,LN2020_331_77556,China,,2020,swab,Myotis sp.,Yes,0.0,No,No,NA-NA,,116-1718,1.0,NA-NA,,Mammalia,,1602.0,
OR951088,OR951088.1,MAG: Bat astrovirus isolate YN2020_321_30356 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3737.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_30356,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,NA-NA,,185-1754,1.0,1772-3737,1.0,Mammalia,,1569.0,1965.0
OR951087,OR951087.1,MAG: Bat astrovirus isolate YN2020_321_29515 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6552.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_29515,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,390-2625,1.0,2624-4205,1.0,4188-6510,1.0,Mammalia,2235.0,1581.0,2322.0
OR951086,OR951086.1,MAG: Bat astrovirus isolate YN2020_321_25819 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4824.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_25819,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,0-1615,1.0,1614-3192,1.0,3133-4824,1.0,Mammalia,1615.0,1578.0,1691.0
OR951082,OR951082.1,MAG: Bat astrovirus isolate Pool-313 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6574.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,Pool-313,China,,2020,swab,Chiroptera sp.,Yes,0.0,No,No,61-2527,1.0,2526-4095,1.0,4113-6324,1.0,Mammalia,2466.0,1569.0,2211.0
OR951081,OR951081.1,"MAG: Bat astrovirus isolate Pool-312 polyprotein 1a and polyprotein 1b genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3410.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,Pool-312,China,,2020,swab,Hipposideros sp.,Yes,2.0,No,No,0-1842,1.0,1853-3380,1.0,NA-NA,,Mammalia,1842.0,1527.0,
OR951080,OR951080.1,"MAG: Bat astrovirus isolate HB2020_306_19370 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6680.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HB2020_306_19370,China,,2020,swab,Rhinolophus sinicus,Yes,3.0,No,No,37-2707,1.0,2718-4293,1.0,4093-6523,1.0,Mammalia,2670.0,1575.0,2430.0
OR951079,OR951079.1,"MAG: Bat astrovirus isolate HB2020_303_11589 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6677.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HB2020_303_11589,China,,2020,swab,Rhinolophus ferrumequinum,Yes,3.0,No,No,31-2635,1.0,2646-4218,1.0,4159-6535,1.0,Mammalia,2604.0,1572.0,2376.0
OR951075,OR951075.1,MAG: Mamastrovirus 15 isolate GX2016 sequence,18-SEP-2025,Mamastrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus taphozoi,Mamastrovirus taphozoi,Astroviridae,3793.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016,China,,2016,swab,Taphozous sp.,Yes,0.0,No,No,NA-NA,,89-1646,1.0,1648-3781,1.0,Mammalia,,1557.0,2133.0
OR951074,OR951074.1,MAG: Bat astrovirus isolate GD2016_278_174689 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6612.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_278_174689,China,,2016,swab,Myotis chinensis,Yes,0.0,No,No,161-2774,1.0,2773-4375,1.0,4319-6512,1.0,Mammalia,2613.0,1602.0,2193.0
OR951073,OR951073.1,"MAG: Bat astrovirus isolate GD2016_278_122035 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1940.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_278_122035,China,,2016,swab,Myotis chinensis,Yes,0.0,No,No,NA-NA,,361-1940,1.0,NA-NA,,Mammalia,,1579.0,
OR951072,OR951072.1,MAG: Bat astrovirus isolate GD2016_278_110098 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3658.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_278_110098,China,,2016,swab,Myotis chinensis,Yes,0.0,No,No,278-2219,1.0,2197-3658,1.0,NA-NA,,Mammalia,1941.0,1461.0,
OR951068,OR951068.1,MAG: Bat astrovirus isolate YN2016_267_21909 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5701.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2016_267_21909,China,,2016,swab,Rousettus leschenaultii,Yes,0.0,No,No,22-1853,1.0,1855-3355,1.0,3358-5687,1.0,Mammalia,1831.0,1500.0,2329.0
OR951060,OR951060.1,MAG: Bat astrovirus isolate GX2016 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3485.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016,China,,2016,swab,Taphozous melanopogon,Yes,0.0,No,No,180-1992,1.0,1991-3485,1.0,NA-NA,,Mammalia,1812.0,1494.0,
OR951059,OR951059.1,MAG: Bat astrovirus isolate GD2016_230_3862 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4283.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_230_3862,China,,2016,swab,Miniopterus pusillus,Yes,0.0,No,No,262-2473,1.0,2472-4050,1.0,NA-NA,,Mammalia,2211.0,1578.0,
OR951058,OR951058.1,MAG: Bat astrovirus isolate GD2016_229_11066 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3624.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_229_11066,China,,2016,swab,Miniopterus pusillus,Yes,0.0,No,No,164-2384,1.0,2383-3624,1.0,NA-NA,,Mammalia,2220.0,1241.0,
OR951055,OR951055.1,MAG: Bat astrovirus isolate JX2020 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6276.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2020,China,,2020,swab,Myotis pilosus,Yes,0.0,No,No,40-2623,1.0,2622-4224,1.0,4168-6142,1.0,Mammalia,2583.0,1602.0,1974.0
OR951049,OR951049.1,MAG: Bat astrovirus isolate GD2017_211_130439 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6099.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2017_211_130439,China,,2017,swab,Myotis pilosus,Yes,0.0,No,No,142-2237,1.0,2239-3838,1.0,3784-5987,1.0,Mammalia,2095.0,1599.0,2203.0
OR951048,OR951048.1,MAG: Bat astrovirus isolate GD2017_210_6054 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4347.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2017_210_6054,China,,2017,swab,Myotis pilosus,Yes,0.0,No,No,2-2434,1.0,2436-4035,1.0,4029-4347,1.0,Mammalia,2432.0,1599.0,318.0
OR951047,OR951047.1,MAG: Bat astrovirus isolate GD2017_208_34648 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4770.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2017_208_34648,China,,2017,swab,Myotis pilosus,Yes,0.0,No,No,2-888,1.0,889-2156,1.0,2433-4624,1.0,Mammalia,886.0,1267.0,2191.0
