Model_ID,Taxon,TxID,Model type,Range,Positive terms,Negative terms,Start coordinate,End coordinate,Cutoff score,Length,# of sequences,Segmentation,Genome type,Sense,Topology,Baltimore,Parent,Natural Host,Organism_type
vHMM_13101,Picornaviridae,12058,short,wide,polyprotein,,5046,5105,60,60,300,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13558,Potamipivirus,1914567,short,narrow,polyprotein,,1180,1208,66.48,29,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13559,Potamipivirus,1914567,short,narrow,polyprotein,,5633,5692,118.16,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13560,Potamipivirus,1914567,short,narrow,polyprotein,,5350,5372,44.16,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13561,Potamipivirus,1914567,short,narrow,polyprotein,,4443,4466,39.68,24,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13562,Potamipivirus,1914567,short,narrow,polyprotein,,1836,1863,47.04,28,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13563,Potamipivirus,1914567,short,narrow,polyprotein,,4665,4691,53.44,27,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13564,Potamipivirus,1914567,short,narrow,polyprotein,,5046,5105,142,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13565,Potamipivirus,1914567,short,narrow,polyprotein,,3540,3599,130.8,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13566,Potamipivirus,1914567,short,narrow,polyprotein,,6706,6747,101.16,42,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13567,Potamipivirus,1914567,short,narrow,polyprotein,,5581,5601,37.12,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13568,Potamipivirus,1914567,short,narrow,polyprotein,,6649,6673,49.2,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13569,Potamipivirus,1914567,short,narrow,polyprotein,,1730,1755,51.36,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13570,Potamipivirus,1914567,short,narrow,polyprotein,,6328,6352,53.72,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13571,Potamipivirus,1914567,short,narrow,polyprotein,,1544,1581,89.74,38,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13572,Potamipivirus,1914567,short,narrow,polyprotein,,4282,4305,44.4,24,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13573,Potamipivirus,1914567,short,narrow,polyprotein,,4925,4951,48.88,27,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13574,Potamipivirus,1914567,short,narrow,polyprotein,,3723,3748,72.12,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13575,Potamipivirus,1914567,short,narrow,polyprotein,,3643,3702,124.16,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13576,Potamipivirus,1914567,short,narrow,polyprotein,,5754,5813,121.2,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13577,Potamipivirus,1914567,short,narrow,polyprotein,,1365,1384,37.12,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13578,Potamipivirus,1914567,short,narrow,polyprotein,,1056,1085,66.52,30,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18391,Potamipivirus,1914567,full-length,narrow,polyprotein,,1,2546,5244.62,2546,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13723,Tremovirus,689759,short,narrow,polyprotein,,6891,6914,48.5,24,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13724,Tremovirus,689759,short,narrow,polyprotein,,871,894,42.56,24,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13725,Tremovirus,689759,short,narrow,polyprotein,,6304,6323,36.96,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13726,Tremovirus,689759,short,narrow,polyprotein,,1382,1411,64.66,30,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13727,Tremovirus,689759,short,narrow,polyprotein,,6154,6176,49.04,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13728,Tremovirus,689759,short,narrow,polyprotein,,6756,6777,48.98,22,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13729,Tremovirus,689759,short,narrow,polyprotein,,5057,5097,106.94,41,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13730,Tremovirus,689759,short,narrow,polyprotein,,4927,4951,43.92,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13731,Tremovirus,689759,short,narrow,polyprotein,,4988,5008,43.24,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13732,Tremovirus,689759,short,narrow,polyprotein,,1544,1580,97.72,37,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13733,Tremovirus,689759,short,narrow,polyprotein,,1180,1209,75.06,30,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13734,Tremovirus,689759,short,narrow,polyprotein,,1056,1085,66.9,30,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13735,Tremovirus,689759,short,narrow,polyprotein,,6328,6352,52.82,25,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13736,Tremovirus,689759,short,narrow,polyprotein,,4373,4403,64.08,31,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13737,Tremovirus,689759,short,narrow,polyprotein,,6676,6701,52.08,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13738,Tremovirus,689759,short,narrow,polyprotein,,4851,4895,90.8,45,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13739,Tremovirus,689759,short,narrow,polyprotein,,1627,1657,74.24,31,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13740,Tremovirus,689759,short,narrow,polyprotein,,3731,3753,46.08,23,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13741,Tremovirus,689759,short,narrow,polyprotein,,7001,7024,52.64,24,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13742,Tremovirus,689759,short,narrow,polyprotein,,4335,4356,37.76,22,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13743,Tremovirus,689759,short,narrow,polyprotein,,6714,6747,79.96,34,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18401,Tremovirus,689759,full-length,narrow,polyprotein,,1,2134,4514.74,2134,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13370,Hunnivirus,1431456,short,narrow,polyprotein,,6329,6352,56.42,24,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13371,Hunnivirus,1431456,short,narrow,polyprotein,,1544,1581,87.88,38,6,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13372,Hunnivirus,1431456,short,narrow,polyprotein,,1733,1755,46.9,23,5,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13373,Hunnivirus,1431456,short,narrow,polyprotein,,6714,6747,81.12,34,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13374,Hunnivirus,1431456,short,narrow,polyprotein,,7026,7045,47.54,20,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13375,Hunnivirus,1431456,short,narrow,polyprotein,,4568,4625,67.68,58,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13376,Hunnivirus,1431456,short,narrow,polyprotein,,6667,6686,32,20,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13377,Hunnivirus,1431456,short,narrow,polyprotein,,4544,4566,29.36,23,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13378,Hunnivirus,1431456,short,narrow,polyprotein,,6246,6273,56.16,28,5,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13379,Hunnivirus,1431456,short,narrow,polyprotein,,502,526,29.92,25,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13380,Hunnivirus,1431456,short,narrow,polyprotein,,6155,6174,34.8,20,5,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13381,Hunnivirus,1431456,short,narrow,polyprotein,,4337,4356,32.32,20,5,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13382,Hunnivirus,1431456,short,narrow,polyprotein,,6103,6128,51.92,26,6,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13383,Hunnivirus,1431456,short,narrow,polyprotein,,627,646,39.96,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13384,Hunnivirus,1431456,short,narrow,polyprotein,,5581,5614,59.76,34,6,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13385,Hunnivirus,1431456,short,narrow,polyprotein,,1887,1908,39.92,22,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13386,Hunnivirus,1431456,short,narrow,polyprotein,,4493,4531,39,39,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13387,Hunnivirus,1431456,short,narrow,polyprotein,,686,709,31.04,24,5,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18380,Hunnivirus,1431456,full-length,narrow,polyprotein,,1,2263,4138.26,2263,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13495,Pasivirus,1511782,short,narrow,polyprotein,,1810,1834,50.38,25,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13496,Pasivirus,1511782,short,narrow,polyprotein,,6713,6747,78.04,35,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13497,Pasivirus,1511782,short,narrow,polyprotein,,6751,6773,53.74,23,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13498,Pasivirus,1511782,short,narrow,polyprotein,,3177,3208,68.64,32,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13499,Pasivirus,1511782,short,narrow,polyprotein,,1544,1581,85.54,38,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13500,Pasivirus,1511782,short,narrow,polyprotein,,1838,1863,51.04,26,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13501,Pasivirus,1511782,short,narrow,polyprotein,,5048,5086,97.72,39,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13502,Pasivirus,1511782,short,narrow,polyprotein,,4443,4466,42.4,24,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13503,Pasivirus,1511782,short,narrow,polyprotein,,1635,1655,51.54,21,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13504,Pasivirus,1511782,short,narrow,polyprotein,,4976,5004,59.36,29,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13505,Pasivirus,1511782,short,narrow,polyprotein,,6891,6910,34.74,20,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13506,Pasivirus,1511782,short,narrow,polyprotein,,6328,6352,51.9,25,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13507,Pasivirus,1511782,short,narrow,polyprotein,,1180,1208,68.46,29,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13508,Pasivirus,1511782,short,narrow,polyprotein,,1730,1755,57.86,26,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13509,Pasivirus,1511782,short,narrow,polyprotein,,4336,4356,37.6,21,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13510,Pasivirus,1511782,short,narrow,polyprotein,,4925,4951,52.88,27,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13511,Pasivirus,1511782,short,narrow,polyprotein,,1056,1087,70.32,32,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13512,Pasivirus,1511782,short,narrow,polyprotein,,1365,1384,46.98,20,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13513,Pasivirus,1511782,short,narrow,polyprotein,,5808,5831,47.08,24,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18388,Pasivirus,1511782,full-length,narrow,polyprotein,,1,2135,4221.98,2135,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13240,Avisivirus,1511771,short,narrow,polyprotein,,5050,5106,120.04,57,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13241,Avisivirus,1511771,short,narrow,polyprotein,,1358,1384,49.2,27,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13242,Avisivirus,1511771,short,narrow,polyprotein,,6328,6352,45.24,25,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13243,Avisivirus,1511771,short,narrow,polyprotein,,5808,5831,41.86,24,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13244,Avisivirus,1511771,short,narrow,polyprotein,,6718,6747,62.92,30,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13245,Avisivirus,1511771,short,narrow,polyprotein,,1730,1755,51.94,26,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13246,Avisivirus,1511771,short,narrow,polyprotein,,1180,1203,43.44,24,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13247,Avisivirus,1511771,short,narrow,polyprotein,,4919,4951,53.36,33,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13248,Avisivirus,1511771,short,narrow,polyprotein,,3648,3673,40.96,26,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13249,Avisivirus,1511771,short,narrow,polyprotein,,1056,1087,58.84,32,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13250,Avisivirus,1511771,short,narrow,polyprotein,,6891,6910,32.5,20,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13251,Avisivirus,1511771,short,narrow,polyprotein,,1544,1583,80.56,40,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13252,Avisivirus,1511771,short,narrow,polyprotein,,6752,6773,48.6,22,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13253,Avisivirus,1511771,short,narrow,polyprotein,,7027,7046,45.66,20,3,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18370,Avisivirus,1511771,full-length,narrow,polyprotein,,1,2234,3670.16,2234,4,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13105,Aalivirus,2169637,short,narrow,polyprotein,,1180,1204,54.14,25,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13106,Aalivirus,2169637,short,narrow,polyprotein,,1056,1087,65.78,32,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13107,Aalivirus,2169637,short,narrow,polyprotein,,5051,5106,136.88,56,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13108,Aalivirus,2169637,short,narrow,polyprotein,,4805,4834,56.8,30,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13109,Aalivirus,2169637,short,narrow,polyprotein,,7027,7046,42.6,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13110,Aalivirus,2169637,short,narrow,polyprotein,,3296,3315,33.12,20,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13111,Aalivirus,2169637,short,narrow,polyprotein,,3446,3466,32.24,21,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13112,Aalivirus,2169637,short,narrow,polyprotein,,6891,6910,30.08,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13113,Aalivirus,2169637,short,narrow,polyprotein,,6328,6352,58.94,25,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13114,Aalivirus,2169637,short,narrow,polyprotein,,3527,3586,123.26,60,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13115,Aalivirus,2169637,short,narrow,polyprotein,,1365,1384,38.62,20,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13116,Aalivirus,2169637,short,narrow,polyprotein,,6713,6747,85.82,35,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13117,Aalivirus,2169637,short,narrow,polyprotein,,4919,4951,73.4,33,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13118,Aalivirus,2169637,short,narrow,polyprotein,,1730,1755,52.92,26,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13119,Aalivirus,2169637,short,narrow,polyprotein,,6751,6773,56.1,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13120,Aalivirus,2169637,short,narrow,polyprotein,,3177,3232,96.32,56,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13121,Aalivirus,2169637,short,narrow,polyprotein,,4703,4732,59.2,30,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13122,Aalivirus,2169637,short,narrow,polyprotein,,4668,4696,58,29,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13123,Aalivirus,2169637,short,narrow,polyprotein,,3379,3438,89.2,60,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13124,Aalivirus,2169637,short,narrow,polyprotein,,3637,3690,109.36,54,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13125,Aalivirus,2169637,short,narrow,polyprotein,,3080,3139,110.16,60,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13126,Aalivirus,2169637,short,narrow,polyprotein,,4993,5021,76.4,29,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13127,Aalivirus,2169637,short,narrow,polyprotein,,3591,3616,48.32,26,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13128,Aalivirus,2169637,short,narrow,polyprotein,,1544,1581,78.32,38,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13129,Aalivirus,2169637,short,narrow,polyprotein,,1328,1355,48.26,28,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13130,Aalivirus,2169637,short,narrow,polyprotein,,5808,5831,49.4,24,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18364,Aalivirus,2169637,full-length,narrow,polyprotein,,1,2716,5152.8,2716,2,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13260,Cosavirus,586418,short,narrow,polyprotein,,7026,7045,42.1,20,9,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13261,Cosavirus,586418,short,narrow,polyprotein,,4337,4356,24.88,20,10,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13262,Cosavirus,586418,short,narrow,polyprotein,,1180,1203,49.76,24,15,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13263,Cosavirus,586418,short,narrow,polyprotein,,1058,1083,50.64,26,14,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13264,Cosavirus,586418,short,narrow,polyprotein,,1544,1567,44.28,24,15,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13265,Cosavirus,586418,short,narrow,polyprotein,,6667,6686,29.36,20,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13266,Cosavirus,586418,short,narrow,polyprotein,,6809,6829,37.6,21,10,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13267,Cosavirus,586418,short,narrow,polyprotein,,6376,6395,30.8,20,11,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
